participation,income,education,age,youngkids,oldkids,foreign
1,10.440141,8,28,0,1,1
0,10.421623,4,52,0,1,1
0,10.57064,12,47,0,2,1
0,10.695252,8,42,0,2,1
1,10.364536,5,42,0,1,1
1,10.327931,4,47,0,0,1
1,10.177955,5,36,0,1,1
1,10.226662,8,41,0,0,1
0,10.417757,3,38,1,1,1
0,11.466458,13,36,0,2,1
1,10.362868,8,25,1,0,1
0,10.412528,5,47,0,1,1
1,10.417331,7,44,0,1,1
0,10.483624,2,44,0,1,1
1,10.451833,8,47,0,0,1
1,10.187326,5,20,1,0,1
0,10.541466,8,41,0,1,1
0,10.74696,7,50,0,1,1
1,10.442706,4,36,1,1,1
1,10.307899,8,20,0,0,1
0,10.50997,6,28,2,0,1
1,10.302572,7,44,0,0,1
1,10.50766,9,35,0,2,1
1,10.662906,15,46,0,1,1
1,10.656736,9,26,1,0,1
1,10.554351,8,31,0,2,1
0,10.500807,5,49,0,1,1
0,10.31735,5,55,0,0,1
1,10.728559,4,40,0,1,1
0,10.010429,6,57,0,1,1
1,10.474912,5,51,0,2,1
1,11.356841,3,56,0,0,1
1,10.483732,2,33,1,3,1
1,10.752502,5,41,0,2,1
0,10.559347,12,32,1,0,1
0,10.215829,11,25,1,0,1
1,11.574043,13,47,0,0,1
1,10.806046,16,31,2,0,1
0,10.945839,14,33,0,2,1
1,10.379906,5,28,0,2,1
1,10.775556,11,38,0,0,1
1,10.528899,9,34,1,1,1
1,10.468534,6,33,0,2,1
0,11.110955,10,35,1,1,1
0,10.471365,9,51,0,1,1
0,10.147503,5,41,1,0,1
1,10.69323,9,35,0,2,1
1,10.027595,14,42,0,0,1
0,10.597393,4,24,2,1,1
1,10.377773,8,48,0,0,1
0,10.13374,6,24,2,0,1
1,10.932351,10,41,0,1,1
0,11.220691,10,51,0,0,1
